Depth,MPHI,P1,P2,P3,P4,P5,P6,P7,P8,MFFI,MBVI
7177,3.294,0.796,0.623,0.118,0.013,0.016,0.172,0.556,0.998,1.756,1.537
7177.5,3.002,0.301,0.35,0.222,0.154,0.204,0.392,0.614,0.765,2.129,0.873
7178,3.289,0.062,0.217,0.343,0.38,0.426,0.528,0.63,0.702,2.668,0.622
7178.5,4.568,0.048,0.303,0.628,0.791,0.777,0.715,0.667,0.639,3.59,0.979
7179,5.397,0.1835,0.3435,0.6465,0.9735,1.0485,0.902,0.7175,0.5825,4.224,1.1735
7179.5,6.226,0.319,0.384,0.665,1.156,1.32,1.089,0.768,0.526,4.858,1.368
7180,8.442,1.676,0.329,0.362,1.157,2.226,1.739,0.7,0.254,6.075,2.367
7180.5,10.053,2.602,0.494,0.104,1.245,2.764,2.111,0.667,0.066,6.853,3.2
7181,9.822,1.819,0.526,0.166,1.768,2.515,1.931,0.921,0.175,7.311,2.511
7181.5,9.033,1.238,0.499,0.346,1.639,2.108,1.713,1.051,0.439,6.95,2.083
7182,8.599,1.119,0.603,0.4395,1.364,1.8215,1.566,1.0675,0.6185,6.4375,2.1615
7182.5,8.165,1,0.707,0.533,1.089,1.535,1.419,1.084,0.798,5.925,2.24
7183,7.267,0.665,0.777,0.758,0.814,0.945,1.052,1.112,1.143,5.067,2.2
7183.5,6.884,0.366,0.822,1.103,0.778,0.561,0.768,1.108,1.377,4.593,2.291
7184,7.158,0.234,0.62,1.402,1.132,0.669,0.729,1.044,1.328,4.903,2.255
7184.5,8.197,0.716,0.612,0.908,1.188,1.274,1.229,1.16,1.109,5.961,2.236
7185,9.055,1.1475,0.5025,0.576,1.0725,1.8045,1.725,1.3015,0.9245,6.829,2.226
7185.5,9.913,1.579,0.393,0.244,0.957,2.335,2.221,1.443,0.74,7.697,2.216
7186,11.941,2.232,0.06,0.057,0.73,3.448,3.262,1.76,0.393,9.592,2.349
7186.5,13.323,2.153,0,0,0.366,3.411,5.358,1.819,0.216,11.17,2.153
7187,14.168,1.842,0,0,0.025,3.18,6.98,1.924,0.217,12.326,1.842
7187.5,15.067,1.898,0,0,0,3.975,5.892,2.734,0.568,13.169,1.898
7188,15.499,2.148,0,0,0.016,3.797,6.0675,2.823,0.6475,13.3505,2.148
7188.5,15.931,2.398,0,0,0.032,3.619,6.243,2.912,0.727,13.532,2.398
7189,16.703,2.729,0,0,1.095,3.128,5.235,2.885,1.631,13.974,2.729
7189.5,17.861,3.024,0,0,3.107,3.073,2.601,2.815,3.241,14.837,3.024
7190,18.606,3.072,0.312,0.194,3.278,2.99,2.349,2.824,3.586,15.027,3.579
7190.5,18.592,1.539,1.871,0.435,1.592,3.115,4.041,3.41,2.588,14.746,3.846
7191,18.8975,1.3415,2.38,0.296,0.9285,3.099,5.119,3.7825,1.9495,14.879,4.0185
7191.5,19.203,1.144,2.889,0.157,0.265,3.083,6.197,4.155,1.311,15.012,4.191
7192,20.209,2.132,2.18,0,0,3.355,6.542,4.459,1.542,15.897,4.312
7192.5,21.602,3.098,1.538,0,0,2.981,8.404,4.1,1.482,16.967,4.635
7193,24.191,5.526,0.711,0,0,1.533,12.486,3.279,0.657,17.955,6.237
7193.5,25.491,6.003,0.442,0,0.009,3.491,10.09,4.204,1.252,19.045,6.446
7194,25.705,5.634,0.28,0,0.0095,4.75,8.858,4.5925,1.5815,19.791,5.9145
7194.5,25.919,5.265,0.118,0,0.01,6.009,7.626,4.981,1.911,20.537,5.383
7195,25.874,4.305,0,0,0,7.081,7.199,4.795,2.494,21.569,4.305
7195.5,24.894,2.718,0,0,0.526,7.151,7.032,4.787,2.68,22.176,2.718
7196,24.197,2.528,0.072,0.003,0.542,6.162,8.256,5.086,1.549,21.594,2.603
7196.5,22.787,2.227,0.61,0.171,1.024,5.017,7.15,4.715,1.872,19.779,3.008
7197,21.6525,1.789,0.6405,0.4975,1.7105,4.446,5.705,4.268,2.596,18.7255,2.927
7197.5,20.518,1.351,0.671,0.824,2.397,3.875,4.26,3.821,3.32,17.672,2.846
7198,18.457,2.004,0.595,1.053,2.174,3.089,3.264,3.187,3.092,14.806,3.651
7198.5,14.97,1.556,0.478,0.727,1.722,2.88,2.935,2.529,2.144,12.21,2.76
7199,11.37,0.341,0.247,0.701,1.917,2.596,2.358,1.824,1.386,10.082,1.289
7199.5,8.401,0.3,0.274,0.685,1.606,1.981,1.654,1.146,0.754,7.141,1.26
7200,7.0795,0.2295,0.2225,0.5805,1.412,1.718,1.401,0.9355,0.58,6.0465,1.033
7200.5,5.758,0.159,0.171,0.476,1.218,1.455,1.148,0.725,0.406,4.952,0.806
7201,4.422,0.344,0.324,0.291,0.622,0.82,0.783,0.668,0.57,3.463,0.959
7201.5,3.732,0.447,0.477,0.308,0.188,0.266,0.479,0.707,0.86,2.499,1.232
7202,3.149,0.271,0.306,0.226,0.17,0.264,0.463,0.659,0.789,2.345,0.804